owner,investor_label_lvl1,investor_label_lvl2,sos_name,sos_id,registry_url
AINO NC LLC,INVESTOR,AALTO INVEST UK,AINO NC LLC,1423132,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10711882
WGH NORTH CAROLINA LLC,INVESTOR,AALTO INVEST UK,WGH NORTH CAROLINA LLC,1340684,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10355385
ALVAR NC LLC,INVESTOR,AALTO INVEST UK,ALVAR NC LLC,1450070,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10830588
1116 PROPERTY NC,INVESTOR,INVITATION HOMES,IH6 PROPERTY NORTH CAROLINA LP,1465710,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=11764602
MHL NORTH CAROLINA LLC,INVESTOR,AALTO INVEST UK,MHL NORTH CAROLINA LLC,1618847,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=13014688
"AMH NC PROPERTIES, LP",INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
1H2 PROPERTY NORTH CAROLINA LP,INVESTOR,INVITATION HOMES,IH2 PROPERTY NORTH CAROLINA LP,1305184,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10189259
"AMH 2015-2 BORROWER,LP",INVESTOR,AMERICAN HOMES 4 RENT,AMH 2015 2 BORROWER LP,1591926,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12792007
AMH NC PROPERTIES LP LIMITED PARTNE,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH 2014-3 BORROWER LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2014 3 BORROWER LP,1590787,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12787454
AMH 2014-2 BORROWER LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2014 2 BORROWER LP,1590785,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12787484
"AMH NC PROPERTIES, L.P., LIMITED PA",INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
"AMH NC PROPERTIES, L.P.",INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH NC PROPERTIES TWO LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
"AMH ROMAN TWO NC, LLC",INVESTOR,AMERICAN HOMES 4 RENT,AMH ROMAN TWO NC LLC,1385539,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10558766
AMH NC PROPERTIES TWO LP LIMITED PA,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
AMH NC PROPERTIES L P,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH 2014-3 BORROWER LP LIMITED PART,INVESTOR,AMERICAN HOMES 4 RENT,AMH 2014 3 BORROWER LP,1590787,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12787454
AMH NC PROPERTIES L P LIMITED PARTN,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH NC PROPERTIES L.P.,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
"AMH NC PROPERTIES, L.P. LIMITED PAR",INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES LP,1551274,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=12447597
AMH NC DEVELOPMENT LP,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC DEVELOPMENT LP,1663814,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=13946277
AMERICAN HOMES INVESTMENTS NC LP,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES INVESTMENTS NC LP,1741961,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14537036
AMH NC PROPERTIES TWO LIMITED,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
2014-1 IH BORROWER,INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
2014 1 IH BORROWER A DE,INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
AMH NC PROPERTIES TWO L P,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
2014-1 IH BORROWER LP,INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
AMH NC PROPERTIES TWO L P LIMITED,INVESTOR,AMERICAN HOMES 4 RENT,AMH NC PROPERTIES TWO LP,1742988,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=14534009
"2014-1 IH BORROWER, LP",INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
2014 1H BORROWER,INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
2014-2 I H BORROWER,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,INVESTOR,AMERICAN HOMES 4 RENT,AMERICAN HOMES 4 RENT PROPERTIES FIVE LLC,1313038,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10231604
2014 & 2 IH BORROWER,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
2014 2 IH BORROWER,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
2014-2 IH BORROWER,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
2014 2 IH BORROWER A DE,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
2014 2 IH BORROWER & THR CALIFORNIA LP,INVESTOR,INVITATION HOMES,2014 2 IH BORROWER LP,1390729,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10579626
2014 & I III BORROWER LLC,INVESTOR,INVITATION HOMES,2017 1 IH BORROWER LP,1353047,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10412085
2015-2 I H 2 BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
2015-2 IH-2 BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
2015-2 IH BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
2015 & 2 IH2 BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
2015 2 IH2 BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
2015-2 IH2 BORROWER,INVESTOR,INVITATION HOMES,2015 2 IH2 BORROWER LP,1432327,https://www.sosnc.gov/online_services/Search/Business_Registration_profile?Id=10750177
